id;date;age;gender;failedinstructions;mmindexp;numgamesplayed;timelimit;codejar;entropy;jarname;numguesses;truncguesses;expguesses;efficiency;rttotal;gamesuccessproportion;truecode;guesses;feedback_smiley;feedback_neutral;rt;gamesuccess
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[4;1;1;4;21;1]";1,617541691;MedLoEnt;7;7;4,8;-2,2;291522;0,111111111;"[5;1;4]";"[[5;5;5];[1;5;5];[5;1;1];[5;2;1];[5;1;2];[5;1;3];[5;1;4]]";"[1;0;2;1;2;2;3]";"[0;2;0;1;0;0;0]";"[9264;24144;34575;41720;53134;59887;68798]";[1]
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[4;1;4;1;1;21]";1,617541691;MedLoEnt;5;5;4,8;-0,2;127886;0,148148148;"[1;1;3]";"[[6;6;6];[1;1;1];[1;2;1];[1;1;2];[1;1;3]]";"[0;2;1;2;3]";"[0;0;1;0;0]";"[15176;20712;25456;30763;35779]";[1]
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[1;1;1;27;1;1]";0,98806367;MinEnt;1;1;2,9;1,9;8624;0,185185185;"[4;4;4]";"[[4;4;4]]";[3];[0];[8624];[1]
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[1;1;4;1;4;21]";1,617541691;MedLoEnt;7;7;4,8;-2,2;218236;0,222222222;"[6;6;3]";"[[6;6;6];[1;6;6];[6;1;6];[6;6;1];[6;6;2];[6;6;5];[6;6;3]]";"[2;1;1;2;2;2;3]";"[0;1;1;0;0;0;0]";"[9585;16561;25345;33009;37928;45112;50696]";[1]
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[1;4;21;1;1;4]";1,617541691;MedLoEnt;2;2;4,8;2,8;27569;0,259259259;"[3;3;1]";"[[3;3;3];[3;3;1]]";"[2;3]";"[0;0]";"[10993;16576]";[1]
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[1;1;1;1;27;1]";0,98806367;MinEnt;5;5;2,9;-2,1;116210;0,296296296;"[5;5;2]";"[[5;5;5];[1;5;5];[5;1;5];[5;5;1];[5;5;2]]";"[2;1;1;2;3]";"[0;1;1;0;0]";"[10568;16848;22624;30999;35171]";[1]
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[6;5;6;5;5;5]";2,579434003;HiEnt;6;6;6,2;0,2;122149;0,333333333;"[2;1;4]";"[[1;1;1];[2;2;2];[3;3;3];[4;4;4];[1;2;4];[2;1;4]]";"[1;1;0;1;1;3]";"[0;0;0;0;2;0]";"[7713;11849;17129;21937;27752;35769]";[1]
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[5;5;5;6;6;5]";2,579434003;HiEnt;8;8;6,2;-1,8;216919;0,37037037;"[5;6;4]";"[[1;1;1];[2;2;2];[3;3;3];[4;4;4];[5;5;5];[6;6;6];[4;5;6];[5;6;4]]";"[0;0;0;1;1;1;0;3]";"[0;0;0;0;0;0;3;0]";"[9088;12328;15704;20434;27098;35745;43225;53297]";[1]
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[1;1;5;5;15;5]";2,080241239;MedHiEnt;6;6;5,2;-0,8;124035;0,407407407;"[5;4;5]";"[[5;5;5];[1;5;5];[5;1;5];[5;2;5];[5;3;5];[5;4;5]]";"[2;1;2;2;2;3]";"[0;1;0;0;0;0]";"[7089;12442;18224;24018;28515;33747]";[1]
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[5;1;5;5;15;1]";2,080241239;MedHiEnt;2;2;5,2;3,2;27128;0,444444444;"[1;5;5]";"[[5;5;5];[1;5;5]]";"[2;3]";"[0;0]";"[11056;16072]";[1]
